RB処理日,年度_4月起点,年月,四半期_4月起点,会社_営業_コード_最新,会社_営業_名_最新,営業部門コード_最新,営業部門名_最新,営業部署コード_最新,営業部署名_最新,会社_G発注元コード_最新,会社_G発注元名_最新,G発注元部門コード_最新,G発注元部門名_最新,G発注元部署コード_最新,G発注元部署名_最新,会社_制作媒体コード_最新,会社_制作媒体名_最新,制作媒体部門コード_最新,制作媒体部門名_最新,制作媒体部署コード_最新,制作媒体部署名_最新,得意先コード,得意先名,広告主コード,広告主名,広告主業種_大コード,広告主業種_大名,広告主業種_中コード,広告主業種_中名,広告主業種_小コード,広告主業種_小名,広告主企業グループコード,広告主企業グループ名,広告主企業グループ業種_大コード,広告主企業グループ業種_大名,広告主企業グループ業種_中コード,広告主企業グループ業種_中名,広告主企業グループ業種_小コード,広告主企業グループ業種_小名,支払先コード,支払先名,マスメディア区分,マスメディア区分名,実施媒体社コード,実施媒体社名,売上種目コード,売上種目名,媒体種目コード,媒体種目名,媒体種類コード,媒体種類名,ビークルコード,ビークル名,仕入高予算,仕入高_建値,媒体戦略原価B予算,媒体戦略原価B_正味,媒体収益予算,媒体収益実績_正味,FC営収予算_社内_社外,FC営収_社内_社外,スタッフコスト
20241219,2024,202412,3Q,H004,株式会社博報堂コンサルティング,SD01,第一営業本部,SD01-01,第一営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C008,味の素株式会社,A005,花王,IND02,化粧品・トイレタリー,IND02-02,トイレタリー,IND02-02-01,洗剤,AG04,花王グループ,GI02,化粧品・トイレタリー,GI02-02,トイレタリー,GI02-02-01,洗剤,P004,株式会社フジテレビジョン,M06,OOH（屋外）,MC12,Meta,SC09,交通広告,MT02,タイムCM,MK10,ディスプレイ広告,V007,日経新聞朝刊,2232899,1602949,1262908,1203144,235140,178487,256757,263680,74191
20231210,2023,202312,3Q,E006,株式会社コスモ・コミュニケーションズ,SD01,第一営業本部,SD01-01,第一営業部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C011,ソフトバンク株式会社,A009,NTTドコモ,IND04,情報・通信,IND04-01,通信,IND04-01-01,携帯電話,AG08,NTTグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P005,株式会社テレビ朝日,M02,新聞,MC13,LINE,SC06,デジタル広告,MT02,タイムCM,MK02,BS・CS,V007,日経新聞朝刊,6590526,6032885,3975317,3308499,716324,693072,411793,516131,162970
20241203,2024,202412,3Q,Y005,株式会社読広エージェンシー,SD03,デジタル営業本部,SD03-02,デジタル第二営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C023,アサヒグループホールディングス株式会社,A003,本田技研工業,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG02,ホンダグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P002,株式会社TBSテレビ,M06,OOH（屋外）,MC04,テレビ朝日,SC05,ラジオスポット,MT02,タイムCM,MK14,電車内広告,V004,テレ朝系全国ネット,6878091,6383389,4374624,4886696,911559,806015,804857,902318,419652
20241121,2024,202411,3Q,E001,株式会社kyu,SD02,第二営業本部,SD02-01,第三営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C006,サントリーホールディングス株式会社,A015,リクルート,IND07,サービス,IND07-01,人材,IND07-01-01,求人,AG14,リクルートグループ,GI07,サービス,GI07-01,人材,GI07-01-01,求人,P013,ヤフー株式会社,M03,雑誌,MC15,集英社,SC09,交通広告,MT04,月刊誌,MK11,SNSフィード,V006,読売新聞朝刊全国版,3853932,3227393,1964079,1684642,591764,454940,556087,681662,149843
20240722,2024,202407,2Q,D003,株式会社大広九州,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C005,花王株式会社,A008,味の素,IND03,食品・飲料,IND03-03,食品,IND03-03-01,調味料,AG07,味の素グループ,GI03,食品・飲料,GI03-03,食品,GI03-03-01,調味料,P018,株式会社サイバーエージェント,M05,デジタル,MC05,テレビ東京,SC10,屋外広告,MT07,ディスプレイ,MK15,デジタルサイネージ,V010,Facebook/Instagram広告,26903314,24675662,21501067,16537886,5345773,6439655,3661817,2899078,796309
20240517,2024,202405,1Q,Y005,株式会社読広エージェンシー,SD01,第一営業本部,SD01-02,第二営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C020,楽天グループ株式会社,A015,リクルート,IND07,サービス,IND07-01,人材,IND07-01-01,求人,AG14,リクルートグループ,GI07,サービス,GI07-01,人材,GI07-01-01,求人,P017,株式会社東急エージェンシー,M03,雑誌,MC09,日経新聞,SC01,テレビスポット,MT02,タイムCM,MK11,SNSフィード,V015,渋谷大型ビジョン,36135468,41574820,26399836,22970173,5734699,4166409,1818500,2060824,2283069
20230903,2023,202309,2Q,Y002,株式会社読広クロスコム,SD01,第一営業本部,SD01-02,第二営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C005,花王株式会社,A012,パナソニック,IND05,電気機器,IND05-01,家電,IND05-01-01,生活家電,AG11,パナソニックグループ,GI05,電気機器,GI05-01,家電,GI05-01-01,生活家電,P006,株式会社テレビ東京,M05,デジタル,MC13,LINE,SC09,交通広告,MT01,スポットCM,MK10,ディスプレイ広告,V006,読売新聞朝刊全国版,32889774,23407193,25612240,29181585,8759635,7410750,1835003,2251192,2526492
20250308,2024,202503,4Q,Y001,株式会社読売広告社,SD01,第一営業本部,SD01-02,第二営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C005,花王株式会社,A016,楽天,IND04,情報・通信,IND04-02,IT,IND04-02-01,EC,AG15,楽天グループ,GI04,情報・通信,GI04-02,IT,GI04-02-01,EC,P018,株式会社サイバーエージェント,M02,新聞,MC05,テレビ東京,SC09,交通広告,MT10,ビルボード,MK07,FM放送,V004,テレ朝系全国ネット,36291547,41849928,25656682,27105629,6525164,7421392,3169778,3929790,1708938
20231116,2023,202311,3Q,H003,株式会社博報堂プロダクツ,SD03,デジタル営業本部,SD03-02,デジタル第二営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C019,株式会社リクルート,A008,味の素,IND03,食品・飲料,IND03-03,食品,IND03-03-01,調味料,AG07,味の素グループ,GI03,食品・飲料,GI03-03,食品,GI03-03-01,調味料,P001,株式会社電通,M01,テレビ,MC12,Meta,SC01,テレビスポット,MT04,月刊誌,MK02,BS・CS,V015,渋谷大型ビジョン,2208087,2684550,1150981,942656,516240,398222,139619,176102,119816
20231115,2023,202311,3Q,E006,株式会社コスモ・コミュニケーションズ,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C004,株式会社資生堂,A004,資生堂,IND02,化粧品・トイレタリー,IND02-01,化粧品,IND02-01-01,スキンケア,AG03,資生堂グループ,GI02,化粧品・トイレタリー,GI02-01,化粧品,GI02-01-01,スキンケア,P014,Twitter Japan株式会社,M03,雑誌,MC07,朝日新聞,SC07,動画広告,MT08,動画配信,MK14,電車内広告,V012,Yahoo!ディスプレイ,3735366,4123914,2970548,2225561,674324,587634,508634,431928,117337
