RB処理日,年度_4月起点,年月,四半期_4月起点,会社_営業_コード_最新,会社_営業_名_最新,営業部門コード_最新,営業部門名_最新,営業部署コード_最新,営業部署名_最新,会社_G発注元コード_最新,会社_G発注元名_最新,G発注元部門コード_最新,G発注元部門名_最新,G発注元部署コード_最新,G発注元部署名_最新,会社_制作媒体コード_最新,会社_制作媒体名_最新,制作媒体部門コード_最新,制作媒体部門名_最新,制作媒体部署コード_最新,制作媒体部署名_最新,得意先コード,得意先名,広告主コード,広告主名,広告主業種_大コード,広告主業種_大名,広告主業種_中コード,広告主業種_中名,広告主業種_小コード,広告主業種_小名,広告主企業グループコード,広告主企業グループ名,広告主企業グループ業種_大コード,広告主企業グループ業種_大名,広告主企業グループ業種_中コード,広告主企業グループ業種_中名,広告主企業グループ業種_小コード,広告主企業グループ業種_小名,支払先コード,支払先名,マスメディア区分,マスメディア区分名,実施媒体社コード,実施媒体社名,売上種目コード,売上種目名,媒体種目コード,媒体種目名,媒体種類コード,媒体種類名,ビークルコード,ビークル名,仕入高予算,仕入高_建値,媒体戦略原価B予算,媒体戦略原価B_正味,媒体収益予算,媒体収益実績_正味,FC営収予算_社内_社外,FC営収_社内_社外,スタッフコスト
20240820,2024,202408,2Q,Y001,株式会社読売広告社,SD05,関西営業本部,SD05-02,関西第二営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C012,パナソニック株式会社,A017,ファーストリテイリング,IND08,流通・小売,IND08-01,アパレル,IND08-01-01,カジュアル,AG16,ファーストリテイリンググループ,GI08,流通・小売,GI08-01,アパレル,GI08-01-01,カジュアル,P016,株式会社JR東日本企画,M05,デジタル,MC12,Meta,SC06,デジタル広告,MT08,動画配信,MK12,インストリーム動画,V010,Facebook/Instagram広告,32116941,24125645,18874543,18863142,6154274,8428566,4312076,4096652,1889708
20230518,2023,202305,1Q,E010,株式会社読広インターナショナル,SD04,メディア営業本部,SD04-01,メディア営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C026,武田薬品工業株式会社,A008,味の素,IND03,食品・飲料,IND03-03,食品,IND03-03-01,調味料,AG07,味の素グループ,GI03,食品・飲料,GI03-03,食品,GI03-03-01,調味料,P019,株式会社集英社,M03,雑誌,MC02,日本テレビ,SC01,テレビスポット,MT09,駅構内,MK14,電車内広告,V011,LINE広告,48599804,56800180,37594331,44140540,12265860,13940000,7106065,6647647,3469957
20250114,2024,202501,4Q,Y005,株式会社読広エージェンシー,SD05,関西営業本部,SD05-02,関西第二営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C005,花王株式会社,A001,トヨタ自動車,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P001,株式会社電通,M02,新聞,MC03,フジテレビ,SC07,動画広告,MT06,リスティング,MK01,地上波テレビ,V011,LINE広告,15421809,20011696,11774076,13633572,2348825,1590887,1935292,1400381,718329
20240321,2023,202403,4Q,E008,株式会社博報堂テクノロジーズ,SD01,第一営業本部,SD01-02,第二営業部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C011,ソフトバンク株式会社,A006,サントリー,IND03,食品・飲料,IND03-01,飲料,IND03-01-01,清涼飲料,AG05,サントリーグループ,GI03,食品・飲料,GI03-01,飲料,GI03-01-01,清涼飲料,P019,株式会社集英社,M03,雑誌,MC10,Google,SC06,デジタル広告,MT08,動画配信,MK07,FM放送,V001,TBS系全国ネット,16790531,18926261,11570900,11395690,4576701,3004714,890361,767744,1317655
20250110,2024,202501,4Q,Y004,株式会社ユニバーサルコミュニケーションズ,SD02,第二営業本部,SD02-01,第三営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C002,本田技研工業株式会社,A010,KDDI,IND04,情報・通信,IND04-01,通信,IND04-01-01,携帯電話,AG09,KDDIグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P011,Google合同会社,M02,新聞,MC09,日経新聞,SC07,動画広告,MT09,駅構内,MK08,AM放送,V007,日経新聞朝刊,4788212,3763948,3472962,3210134,948941,685013,694212,877498,152119
20241206,2024,202412,3Q,D001,株式会社大広,SD04,メディア営業本部,SD04-01,メディア営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C024,日清食品ホールディングス株式会社,A008,味の素,IND03,食品・飲料,IND03-03,食品,IND03-03-01,調味料,AG07,味の素グループ,GI03,食品・飲料,GI03-03,食品,GI03-03-01,調味料,P004,株式会社フジテレビジョン,M03,雑誌,MC12,Meta,SC04,雑誌広告,MT09,駅構内,MK11,SNSフィード,V004,テレ朝系全国ネット,45999473,56470747,30706566,34313685,9902595,10584245,6284223,5322832,3486096
20230510,2023,202305,1Q,H002,株式会社博報堂DYメディアパートナーズ,SD05,関西営業本部,SD05-01,関西第一営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C010,KDDI株式会社,A002,レクサス,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-02,高級車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P001,株式会社電通,M02,新聞,MC05,テレビ東京,SC02,テレビタイム,MT08,動画配信,MK01,地上波テレビ,V004,テレ朝系全国ネット,27242394,30779410,15119454,12425537,5399013,4311651,1573586,1383755,1580329
20230616,2023,202306,1Q,H010,株式会社博報堂DYホールディングス,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C028,ANA ホールディングス株式会社,A013,ソニー,IND05,電気機器,IND05-02,エンタテインメント,IND05-02-01,ゲーム,AG12,ソニーグループ,GI05,電気機器,GI05-02,エンタテインメント,GI05-02-01,ゲーム,P006,株式会社テレビ東京,M01,テレビ,MC13,LINE,SC08,SNS広告,MT08,動画配信,MK10,ディスプレイ広告,V014,東京メトロ車内,44346191,52716662,31847428,26979982,5686154,7717022,4921090,3735735,3057174
20230813,2023,202308,2Q,Y001,株式会社読売広告社,SD03,デジタル営業本部,SD03-01,デジタル第一営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C003,日産自動車株式会社,A011,ソフトバンク,IND04,情報・通信,IND04-01,通信,IND04-01-02,ブロードバンド,AG10,ソフトバンクグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P003,日本テレビ放送網株式会社,M04,ラジオ,MC13,LINE,SC06,デジタル広告,MT01,スポットCM,MK12,インストリーム動画,V015,渋谷大型ビジョン,33005937,36646948,20679841,15304917,4249654,4886856,3836733,4358299,1203610
20230628,2023,202306,1Q,Y005,株式会社読広エージェンシー,SD04,メディア営業本部,SD04-01,メディア営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C020,楽天グループ株式会社,A013,ソニー,IND05,電気機器,IND05-02,エンタテインメント,IND05-02-01,ゲーム,AG12,ソニーグループ,GI05,電気機器,GI05-02,エンタテインメント,GI05-02-01,ゲーム,P013,ヤフー株式会社,M02,新聞,MC08,読売新聞,SC02,テレビタイム,MT05,FMスポット,MK06,月刊誌,V008,Google検索広告,3557107,4600925,2116209,2211564,997226,944165,358357,285877,235513
