RB処理日,年度_4月起点,年月,四半期_4月起点,会社_営業_コード_最新,会社_営業_名_最新,営業部門コード_最新,営業部門名_最新,営業部署コード_最新,営業部署名_最新,会社_G発注元コード_最新,会社_G発注元名_最新,G発注元部門コード_最新,G発注元部門名_最新,G発注元部署コード_最新,G発注元部署名_最新,会社_制作媒体コード_最新,会社_制作媒体名_最新,制作媒体部門コード_最新,制作媒体部門名_最新,制作媒体部署コード_最新,制作媒体部署名_最新,得意先コード,得意先名,広告主コード,広告主名,広告主業種_大コード,広告主業種_大名,広告主業種_中コード,広告主業種_中名,広告主業種_小コード,広告主業種_小名,広告主企業グループコード,広告主企業グループ名,広告主企業グループ業種_大コード,広告主企業グループ業種_大名,広告主企業グループ業種_中コード,広告主企業グループ業種_中名,広告主企業グループ業種_小コード,広告主企業グループ業種_小名,支払先コード,支払先名,マスメディア区分,マスメディア区分名,実施媒体社コード,実施媒体社名,売上種目コード,売上種目名,媒体種目コード,媒体種目名,媒体種類コード,媒体種類名,ビークルコード,ビークル名,仕入高予算,仕入高_建値,媒体戦略原価B予算,媒体戦略原価B_正味,媒体収益予算,媒体収益実績_正味,FC営収予算_社内_社外,FC営収_社内_社外,スタッフコスト
20240601,2024,202406,1Q,Y004,株式会社ユニバーサルコミュニケーションズ,SD02,第二営業本部,SD02-01,第三営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C022,株式会社ニトリホールディングス,A011,ソフトバンク,IND04,情報・通信,IND04-01,通信,IND04-01-02,ブロードバンド,AG10,ソフトバンクグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P009,株式会社日本経済新聞社,M01,テレビ,MC15,集英社,SC04,雑誌広告,MT04,月刊誌,MK02,BS・CS,V008,Google検索広告,39459902,45166152,28565679,22187331,10351496,8210518,3583263,2948690,2157426
20240225,2023,202402,4Q,H001,株式会社博報堂,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C010,KDDI株式会社,A009,NTTドコモ,IND04,情報・通信,IND04-01,通信,IND04-01-01,携帯電話,AG08,NTTグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P004,株式会社フジテレビジョン,M02,新聞,MC01,TBSテレビ,SC05,ラジオスポット,MT08,動画配信,MK05,週刊誌,V007,日経新聞朝刊,16834128,17792443,9330333,7726112,4537850,5646493,1935038,1576316,482274
20240406,2024,202404,1Q,H001,株式会社博報堂,SD02,第二営業本部,SD02-02,第四営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C017,第一生命保険株式会社,A001,トヨタ自動車,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P015,LINE株式会社,M02,新聞,MC13,LINE,SC07,動画広告,MT06,リスティング,MK02,BS・CS,V002,日テレ系全国ネット,14201375,11606784,9059116,7545621,3139616,3490867,765891,952814,1098634
20230608,2023,202306,1Q,E004,株式会社スパイスボックス,SD05,関西営業本部,SD05-01,関西第一営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C023,アサヒグループホールディングス株式会社,A019,ANA,IND09,運輸・レジャー,IND09-01,航空,IND09-01-01,旅客,AG18,ANAグループ,GI09,運輸・レジャー,GI09-01,航空,GI09-01-01,旅客,P015,LINE株式会社,M05,デジタル,MC01,TBSテレビ,SC02,テレビタイム,MT05,FMスポット,MK14,電車内広告,V004,テレ朝系全国ネット,33202761,28185935,23904129,21072170,5109905,3110789,3772483,4719431,974965
20231120,2023,202311,3Q,E006,株式会社コスモ・コミュニケーションズ,SD01,第一営業本部,SD01-01,第一営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C020,楽天グループ株式会社,A006,サントリー,IND03,食品・飲料,IND03-01,飲料,IND03-01-01,清涼飲料,AG05,サントリーグループ,GI03,食品・飲料,GI03-01,飲料,GI03-01-01,清涼飲料,P019,株式会社集英社,M06,OOH（屋外）,MC15,集英社,SC09,交通広告,MT09,駅構内,MK01,地上波テレビ,V010,Facebook/Instagram広告,9684853,9980372,6849363,7640710,1040076,1407627,802232,823123,754960
20230615,2023,202306,1Q,Y002,株式会社読広クロスコム,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C013,ソニーグループ株式会社,A006,サントリー,IND03,食品・飲料,IND03-01,飲料,IND03-01-01,清涼飲料,AG05,サントリーグループ,GI03,食品・飲料,GI03-01,飲料,GI03-01-01,清涼飲料,P014,Twitter Japan株式会社,M01,テレビ,MC04,テレビ朝日,SC03,新聞広告,MT03,全国紙,MK02,BS・CS,V007,日経新聞朝刊,35489591,28707136,17893718,18569639,4130343,3065565,3450737,3906191,717932
20230602,2023,202306,1Q,E007,株式会社博報堂アイ・スタジオ,SD02,第二営業本部,SD02-02,第四営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C005,花王株式会社,A011,ソフトバンク,IND04,情報・通信,IND04-01,通信,IND04-01-02,ブロードバンド,AG10,ソフトバンクグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P008,株式会社読売新聞社,M05,デジタル,MC05,テレビ東京,SC05,ラジオスポット,MT04,月刊誌,MK07,FM放送,V007,日経新聞朝刊,22335451,27034871,16183012,13382609,2256970,1672975,3083015,2191843,779050
20241203,2024,202412,3Q,E009,株式会社大広ONES,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C002,本田技研工業株式会社,A001,トヨタ自動車,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P018,株式会社サイバーエージェント,M04,ラジオ,MC03,フジテレビ,SC04,雑誌広告,MT04,月刊誌,MK15,デジタルサイネージ,V014,東京メトロ車内,46710623,48565137,28580478,26798274,11257586,11797505,5770991,4943327,3320546
20230923,2023,202309,2Q,E006,株式会社コスモ・コミュニケーションズ,SD02,第二営業本部,SD02-01,第三営業部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C020,楽天グループ株式会社,A018,日清食品,IND03,食品・飲料,IND03-03,食品,IND03-03-02,即席麺,AG17,日清食品グループ,GI03,食品・飲料,GI03-03,食品,GI03-03-02,即席麺,P005,株式会社テレビ朝日,M04,ラジオ,MC05,テレビ東京,SC03,新聞広告,MT06,リスティング,MK09,検索連動型,V003,フジ系全国ネット,28917070,22842182,16858946,18381233,5161942,5574805,4186441,4711887,1339356
20230705,2023,202307,2Q,D001,株式会社大広,SD04,メディア営業本部,SD04-01,メディア営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C002,本田技研工業株式会社,A002,レクサス,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-02,高級車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P004,株式会社フジテレビジョン,M05,デジタル,MC01,TBSテレビ,SC04,雑誌広告,MT06,リスティング,MK07,FM放送,V008,Google検索広告,46353643,52567832,25253089,21858850,7219089,7655478,3365876,3436533,3284713
20240709,2024,202407,2Q,E008,株式会社博報堂テクノロジーズ,SD03,デジタル営業本部,SD03-02,デジタル第二営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C015,三菱UFJフィナンシャル・グループ,A003,本田技研工業,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG02,ホンダグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P007,株式会社朝日新聞社,M05,デジタル,MC14,JR東日本企画,SC08,SNS広告,MT10,ビルボード,MK12,インストリーム動画,V007,日経新聞朝刊,32928979,25651671,21047133,14883670,5060197,6667652,4533699,5810451,965276
20240824,2024,202408,2Q,E005,株式会社エムハンド,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C029,株式会社セブン＆アイ・ホールディングス,A020,セブン＆アイ,IND08,流通・小売,IND08-02,コンビニ,IND08-02-01,コンビニエンスストア,AG19,セブン＆アイグループ,GI08,流通・小売,GI08-02,コンビニ,GI08-02-01,コンビニエンスストア,P020,株式会社講談社,M02,新聞,MC06,NHK,SC08,SNS広告,MT03,全国紙,MK13,駅看板,V006,読売新聞朝刊全国版,27786679,30457067,17983664,12674768,5599398,4789308,3932768,3213459,1880463
20241005,2024,202410,3Q,D003,株式会社大広九州,SD02,第二営業本部,SD02-01,第三営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C021,株式会社ファーストリテイリング,A008,味の素,IND03,食品・飲料,IND03-03,食品,IND03-03-01,調味料,AG07,味の素グループ,GI03,食品・飲料,GI03-03,食品,GI03-03-01,調味料,P014,Twitter Japan株式会社,M03,雑誌,MC13,LINE,SC04,雑誌広告,MT09,駅構内,MK13,駅看板,V005,朝日新聞朝刊全国版,32646508,31894775,18621500,19134282,4322438,3310601,2213503,2014641,1938529
