RB処理日,会社,部門G,部門,部署,年度,年月,四半期,管理項目コード,管理項目名称,補助項目コード,補助項目名称,実績,予算
20230913,博報堂DYメディアパートナーズ,デジタル統括,経営企画部,開発課,2023,202309,2Q,200001,人件費,S004,見込,31259348,41008108
20241110,博報堂,デジタル統括,第二営業部,第一課,2024,202411,3Q,100003,売上総利益,S001,通常,70046894,57151113
20240106,博報堂プロダクツ,デジタル統括,人事部,第二課,2023,202401,4Q,300002,経常利益,S003,調整,304941533,303225140
20241201,博報堂,クリエイティブ統括,経営企画部,企画課,2024,202412,3Q,100003,売上総利益,S003,調整,169158007,196301198
20240624,博報堂,メディア統括,総務部,運用課,2024,202406,1Q,300001,営業利益,S003,調整,19982678,15000599
20231121,博報堂DYメディアパートナーズ,メディア統括,人事部,第二課,2023,202311,3Q,400002,制作収入,S003,調整,339551301,312689553
20250209,博報堂プロダクツ,営業統括,クリエイティブ部,第二課,2024,202502,4Q,100001,売上高,S002,特別,278889436,384948410
20240722,博報堂,管理統括,第一営業部,開発課,2024,202407,2Q,500002,媒体社リベート,S003,調整,336706903,383840068
20240819,博報堂,デジタル統括,クリエイティブ部,企画課,2024,202408,2Q,300001,営業利益,S003,調整,503250315,478394929
20240309,博報堂プロダクツ,デジタル統括,第二営業部,第三課,2023,202403,4Q,500002,媒体社リベート,S003,調整,86960928,63839209
20240220,博報堂DYメディアパートナーズ,デジタル統括,メディアプランニング部,企画課,2023,202402,4Q,200003,減価償却費,S005,確定,44787537,47869280
20241127,博報堂,メディア統括,メディアプランニング部,開発課,2024,202411,3Q,500002,媒体社リベート,S001,通常,354250828,365700752
20241025,大広,クリエイティブ統括,制作部,運用課,2024,202410,3Q,400002,制作収入,S003,調整,447239468,496229402
20240502,博報堂,メディア統括,メディアプランニング部,管理課,2024,202405,1Q,300002,経常利益,S002,特別,236865557,311077302
20250321,博報堂DYメディアパートナーズ,メディア統括,人事部,第三課,2024,202503,4Q,100001,売上高,S004,見込,312211712,423438901
20241012,博報堂DYメディアパートナーズ,クリエイティブ統括,財務経理部,運用課,2024,202410,3Q,500002,媒体社リベート,S003,調整,231412636,230327499
20231022,読売広告社,クリエイティブ統括,総務部,第三課,2023,202310,3Q,200002,経費,S001,通常,347807854,372247156
