RB処理日,会社,部門G,部門,部署,年度,年月,四半期,管理項目コード,管理項目名称,補助項目コード,補助項目名称,実績,予算
20230613,博報堂,クリエイティブ統括,メディアプランニング部,第二課,2023,202306,1Q,200003,減価償却費,S003,調整,585786240,433999194
20241001,読売広告社,メディア統括,デジタルマーケティング部,第二課,2024,202410,3Q,300002,経常利益,S004,見込,99931157,126247691
20231026,博報堂,デジタル統括,第二営業部,企画課,2023,202310,3Q,400001,媒体手数料収入,S005,確定,46810899,50274830
20240412,大広,営業統括,デジタルマーケティング部,運用課,2024,202404,1Q,100001,売上高,S002,特別,448994764,486537358
20240423,博報堂プロダクツ,営業統括,メディアプランニング部,第三課,2024,202404,1Q,500002,媒体社リベート,S002,特別,461001025,379082607
20240808,大広,デジタル統括,財務経理部,管理課,2024,202408,2Q,500001,広告主負担金,S005,確定,18918360,15743992
20240405,博報堂DYメディアパートナーズ,クリエイティブ統括,財務経理部,第一課,2024,202404,1Q,100001,売上高,S001,通常,426739836,364280223
20240423,博報堂,クリエイティブ統括,財務経理部,運用課,2024,202404,1Q,300002,経常利益,S002,特別,398185841,336918717
20241202,博報堂DYメディアパートナーズ,営業統括,制作部,運用課,2024,202412,3Q,400002,制作収入,S005,確定,350675669,408680186
20240615,読売広告社,メディア統括,第一営業部,推進課,2024,202406,1Q,300001,営業利益,S001,通常,389482054,419800170
20230924,博報堂,メディア統括,クリエイティブ部,第三課,2023,202309,2Q,200002,経費,S003,調整,434652691,463331855
20250202,博報堂プロダクツ,営業統括,クリエイティブ部,第一課,2024,202502,4Q,100003,売上総利益,S005,確定,327886823,405533129
20230706,博報堂,デジタル統括,人事部,第一課,2023,202307,2Q,200002,経費,S005,確定,599872126,494318921
20240402,博報堂DYメディアパートナーズ,管理統括,制作部,運用課,2024,202404,1Q,400001,媒体手数料収入,S003,調整,130300906,126479249
20241111,大広,管理統括,第二営業部,運用課,2024,202411,3Q,400002,制作収入,S001,通常,536416992,384380970
20240826,博報堂プロダクツ,クリエイティブ統括,メディアプランニング部,企画課,2024,202408,2Q,500002,媒体社リベート,S005,確定,270810864,236500526
20240328,博報堂DYメディアパートナーズ,デジタル統括,人事部,管理課,2023,202403,4Q,500002,媒体社リベート,S001,通常,425275270,445142870
20230817,博報堂DYメディアパートナーズ,管理統括,経営企画部,管理課,2023,202308,2Q,100003,売上総利益,S003,調整,414867701,398858927
20240121,博報堂,管理統括,メディアプランニング部,管理課,2023,202401,4Q,100002,売上原価,S005,確定,376487230,319480756
20241216,博報堂,メディア統括,第一営業部,第二課,2024,202412,3Q,200002,経費,S001,通常,112069025,96657193
20231217,大広,メディア統括,財務経理部,運用課,2023,202312,3Q,500002,媒体社リベート,S004,見込,430609796,428079046
20250210,博報堂プロダクツ,デジタル統括,経営企画部,推進課,2024,202502,4Q,300001,営業利益,S002,特別,191065219,286388298
20240122,博報堂プロダクツ,クリエイティブ統括,第二営業部,管理課,2023,202401,4Q,300002,経常利益,S001,通常,351078757,454311073
20231004,博報堂プロダクツ,営業統括,クリエイティブ部,推進課,2023,202310,3Q,500001,広告主負担金,S001,通常,191356700,231665784
20240102,博報堂,メディア統括,総務部,第三課,2023,202401,4Q,100002,売上原価,S003,調整,242741825,313627695
20250311,博報堂,デジタル統括,総務部,第二課,2024,202503,4Q,200001,人件費,S003,調整,116227194,153699307
20241014,読売広告社,管理統括,メディアプランニング部,第三課,2024,202410,3Q,100002,売上原価,S004,見込,333573003,321110022
20250216,博報堂,メディア統括,デジタルマーケティング部,管理課,2024,202502,4Q,500002,媒体社リベート,S005,確定,129049291,126171747
20230618,読売広告社,営業統括,制作部,第一課,2023,202306,1Q,100002,売上原価,S001,通常,103765731,89243402
20230628,博報堂,営業統括,第二営業部,運用課,2023,202306,1Q,500001,広告主負担金,S004,見込,297851972,378346876
20231217,博報堂,管理統括,制作部,第二課,2023,202312,3Q,300002,経常利益,S001,通常,403321445,442884132
20240111,大広,デジタル統括,制作部,管理課,2023,202401,4Q,300002,経常利益,S002,特別,222706969,369509435
20231202,大広,営業統括,第二営業部,開発課,2023,202312,3Q,200002,経費,S002,特別,63636969,72576039
