RB処理日,会社,部門G,部門,部署,年度,年月,四半期,管理項目コード,管理項目名称,補助項目コード,補助項目名称,実績,予算
20240522,博報堂,メディア統括,人事部,管理課,2024,202405,1Q,500001,広告主負担金,S002,特別,9581491,7555790
20240216,博報堂,管理統括,経営企画部,推進課,2023,202402,4Q,100002,売上原価,S003,調整,472216078,419544800
20230910,博報堂,営業統括,総務部,第二課,2023,202309,2Q,300002,経常利益,S003,調整,181849190,148706622
20230716,大広,営業統括,デジタルマーケティング部,第二課,2023,202307,2Q,400003,コンサルティング収入,S005,確定,231035153,246770862
20240125,博報堂プロダクツ,クリエイティブ統括,経営企画部,開発課,2023,202401,4Q,400001,媒体手数料収入,S001,通常,215716609,215532035
20240613,読売広告社,メディア統括,デジタルマーケティング部,管理課,2024,202406,1Q,400003,コンサルティング収入,S003,調整,463100227,396021156
20240817,博報堂,クリエイティブ統括,クリエイティブ部,第二課,2024,202408,2Q,400001,媒体手数料収入,S004,見込,312697598,225708798
20230514,読売広告社,管理統括,制作部,推進課,2023,202305,1Q,200003,減価償却費,S004,見込,452530269,474989966
20230611,読売広告社,クリエイティブ統括,デジタルマーケティング部,開発課,2023,202306,1Q,500002,媒体社リベート,S004,見込,467006802,415533639
20240217,大広,営業統括,クリエイティブ部,第二課,2023,202402,4Q,200003,減価償却費,S001,通常,224045787,224210311
20231024,博報堂,営業統括,第二営業部,推進課,2023,202310,3Q,400003,コンサルティング収入,S002,特別,119972692,108790253
20240223,読売広告社,管理統括,第一営業部,第二課,2023,202402,4Q,100003,売上総利益,S003,調整,231356044,336866124
20240409,博報堂プロダクツ,営業統括,デジタルマーケティング部,第一課,2024,202404,1Q,500001,広告主負担金,S004,見込,55826955,48055407
20240813,博報堂プロダクツ,デジタル統括,デジタルマーケティング部,運用課,2024,202408,2Q,200001,人件費,S004,見込,354768210,452119250
20250109,博報堂DYメディアパートナーズ,管理統括,第一営業部,企画課,2024,202501,4Q,100002,売上原価,S004,見込,275390539,342490434
20230907,大広,営業統括,第二営業部,企画課,2023,202309,2Q,200001,人件費,S001,通常,164839885,225326126
20230804,読売広告社,管理統括,第一営業部,企画課,2023,202308,2Q,200001,人件費,S001,通常,432261075,384335895
20230507,読売広告社,クリエイティブ統括,クリエイティブ部,第二課,2023,202305,1Q,400001,媒体手数料収入,S001,通常,317784396,338663367
20240724,博報堂プロダクツ,管理統括,経営企画部,運用課,2024,202407,2Q,100001,売上高,S005,確定,141002595,211305543
20240407,読売広告社,メディア統括,制作部,企画課,2024,202404,1Q,200002,経費,S004,見込,327961248,305166478
20240913,博報堂,管理統括,第一営業部,推進課,2024,202409,2Q,100001,売上高,S001,通常,15169701,15648562
20240704,博報堂DYメディアパートナーズ,管理統括,制作部,開発課,2024,202407,2Q,400002,制作収入,S001,通常,152573400,180145338
20241128,読売広告社,デジタル統括,人事部,第二課,2024,202411,3Q,200001,人件費,S005,確定,151978339,164582225
20230712,博報堂DYメディアパートナーズ,クリエイティブ統括,経営企画部,企画課,2023,202307,2Q,500001,広告主負担金,S001,通常,109600758,146689449
